,File0.txt,16,268,-377,-183,-21,-108,90,-77,381,398,139,201,95,106,174,307,95,226,-271
,,-148,230,-389,181,-11,-194,62,-104,-522,-117,-82,-27,-306,-385,-31,-4,-210,-5,0
,,99,-151,-150,162,43,-30,-402,-157,0,0,-45,-535,0,0,-364,-738,-19,-85,0
,,410,417,97,-88,-29,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,,0,-266,-71,-39,-8,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,,0,304,70,51,-18,-230,-230,-230,-230,-230,-230,-230,-186,-168,-230,-230,-230,-230,-203
,,0,-56,29,73,784,1078,0,251,1502,1259,794,0,0,0,211,1362,1279,672,0
,,0,-123,-42,193,160,-33,-36,40,206,373,210,0,0,0,0,403,342,146,0
,,0,2,25,210,9,-753,0,0,-515,-214,-126,0,0,0,0,-252,-155,-97,0
,,0,-193,-88,49,-516,-52,0,-40,-198,-644,-327,0,0,0,0,-721,-513,-241,0
,,0,-22,-15,30,-59,-24,0,-40,665,124,-2,0,0,0,0,114,30,67,0
,,0,280,201,233,278,0,0,40,128,648,393,0,0,0,0,769,388,90,-18
,,0,0,0,68,72,-495,0,0,-433,-211,-124,0,0,0,0,-234,41,0,4
,,0,0,0,-63,-278,0,0,-50,-275,-280,-150,0,0,0,-10,-275,-280,-100,0
,,0,0,0,-13,-48,-10,-10,-10,-10,-10,-10,-10,-14,-12,-10,-10,-10,-10,-9
,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,,-55,-242,283,162,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,,-55,-682,-49,194,82,0,0,0,0,0,0,0,0,0,0,0,0,0,39
,,,,,,,,,,,,,,,,,,,,
